,Finland,Finlande,Finland,Finnland
den,firma,firme,firm (company),Firma
den,fisch ,poisson,fish,Fisch
,fisisch ,physique,physical,physisch
dat,flag ,pavillon (drapeau),flag,Flagge
den,flamme ,flamme,flame,Flamme
den,flasche ,bouteille,bottle,Flasche
,flat,plat,flat,flach
,flau ,couler (eau),to flow,fließen
den,flax,lin,flax,Flachs
,fler,plusieurs,several,mehrere
dat,flesch ,"chair, viande","flesh, meat",Fleisch
,flie ,fuir,to flee,fliehen
dat,flies,toison,fleece,Vlies
den,flint,silex,flint,Feuerstein
den,flock,petit troupeau,flock,kleine Herde
,flote ,flotter,to float,"schweben, treiben"
den,flud,"flot, marée haute, inondation",flood,Flut
den,flukt ,fuite,escape,Flucht
den,flur ,plancher,floor,"Boden, Fußboden"
,fly/flog/flogen ,voler (en l'air),to fly,fliegen
dat,flytäu,avion,"aircraft, airplane",Flugzeug
,fo/feng/fongen ,"attraper, capturer",to catch,fangen
den,fogel ,oiseau,bird,Vogel
dat,fölen ,poulain,foal,Fohlen
,folge ,suivre,to follow,folgen
,folgend,"d'après, suivant, selon","following, according to","nach, laut"
dat,folk ,peuple,(a) people,Volk
den,fond,fonds,fund,Fonds
den,font'an,fontaine,fountain,Springbrunnen
,for ,"pour, avant, devant ; car","for, before, in front of; for, because","für, vor; denn"
den,for'autsetting ,condition,"condition, requirement","Voraussetzung, Bedingung"
,forbäuge,"prévenir, empêcher",to prevent,vorbeugen
,for'bide/for'bad/for'buden ,interdire,to forbid,verbieten
,for'binde/band/bunden ,"relier, joindre","to connect, to link",verbinden
,for'blyve/bliv/bliven,"habiter, séjourner","to dwell, sojourn","wohnen, sich aufhalten"
dat,for'bruk,consommation,consumption,Verbrauch
,for'bruke ,"consumer, consommer",to consume,verbrauchen
den,fordel,avantage,advantage,Vorteil
,fordjene,mériter,to deserve,verdienen
den,for'drag ,contrat,"contract, treaty",Vertrag
,for'eine ,unir,to unite,vereinen
de,For'einde Stäten Am'erikas,Etats-Unis d'Amérique,United States of America,Vereinigte Staaten von Amerika
den,For'einde Koningdom,Royaume-Uni,United Kingdom,Vereingtes Königreich
den,for'el ,truite,trout,Forelle
den,forfar,ancêtre,ancestor,Vorfahr
den,for'fatting,constitution (d'un Etat),constitution (of a State),Verfassung (eines Staates)
,for'gete/forgat/forgeten ,oublier,to forget,vergessen
dat,for'getmynit,myosotis,forget-me-not,Vergissmeinnicht
,for'give/gav/given,pardonner,to forgive,vergeben
,for'givens,en vain,in vain,vergebens
,for'kert,erroné,erroneous,verkehrt
,for'klare ,expliquer,to explain,erklären
,for'lede ,séduire,to seduce,verführen
,for'liere/lor/loren,perdre,to lose,verlieren
,for'lovd ,fiancé,engaged (affianced),verlobt
,for'love ,promettre (en mariage),to betroth,verloben
den,for'lust,perte,loss,Verlust
den,form,forme,"form, shape",Form
den,formel,formule,formula,Formel
,for'mode ,"supposer, supputer","to suppose, to guess",vermuten
,for'neu,renouveler,to renew,erneuern
den,for'nunft,raison (intellect),reason (thought),Vernunft
,for'nünftig,raisonnable,reasonable,vernünftig
,for'orsake ,"causer, provoquer",to cause,verursachen
,for'sake ,abandonner,to forsake,"aufgeben, verlassen"
,for'sätlig,intentionnel,intentional,vorsätzlich
,for'sorge ,approvisionner (en = met),"to provide, to supply (with = met)",versorgen
dat,forjaar ,printemps,spring (season),"Frühjahr, Frühling"
den,fork ,fourche,fork,Gabel
den,formel,formule,formula,Formel
,forsie/so/sien,prévoir,"to provide, forecast",vorsehen
,forsihtig ,prudent,"careful, cautious",vorsichtig
,forsoke/soht/soht ,"essayer, tenter","to try, to attempt",versuchen
,först ,premier,first,erster
den,forstad ,banlieue,suburb,Vorstadt
dat,fort,fort (subs. mas.),fort,Fort
,for'telle/tal/talt ,raconter,"to tell, to narrate",erzählen
,fortsette,continuer,to continue,fortsetzen
,for'walte,administrer,to administrate,verwalten
,for'wexle,confondre,to confuse,verwechseln
,for'wirre,embrouiller,"to mix up, confuse",verwirren
dat,fosterbarn,enfant adopté,foster child,Pflegling
den,fox ,renard,fox,Fuchs
den,frag ,"question, demande","question, request",Frage
,frage ,demander (à qqn ; question),to ask (someone a question),fragen
den,fraht,frêt,freight,Fracht
,fram ,en provenance de,(coming) from,von … her
den,framgang ,progrès,progress,Fortschritt
den,Franken ,Franc,Frank,Franke
,Frankrik ,France,France,Frankreich
,fransch ,français,French,französisch
,fremmed,étranger,alien,fremd
,fresch ,frais,fresh,frisch
,frete/frat/freten,dévorer,to devour,fressen
,fri ,libre,free,frei
den,fridag ,vendredi,Friday,Freitag
den,friden ,paix,peace,Frieden
den,friend ,ami,friend,Freund
den,friendschap ,amitié,friendship,Freundschaft
,friese/fros/frosen ,geler,to freeze,frieren
,friesk,frison,Frisian,friesisch
,frisette,libérer,to set free,freisetzen
,fromm,pieux,pious,fromm
den,front,front (guerre),front,Front
den,frosch ,grenouille,frog,Frosch
den,frost,gel (glace),frost,Frost
den,frukt ,fruit,fruit,Frucht
,fruktbar ,fructueux,fruitful,fruchtbar
,fryste,"tenter, séduire",to tempt,"versuchen, anlocken"
,fuktig ,humide,"moist, humid",feucht
,full ,plein,full,voll
,fülle,remplir,to fill,füllen
,fullständig,complet,complete,vollständig
den,fürsten ,prince (régnant),prince (ruler),Fürst
,furte ,craindre,to fear,fürchten
den,fut ,pied,foot,Fuß
dat,fyer ,feu,fire,Feuer
,fyl,lime,file (tool),Feile
,fyn,"fin, élégant",fine (adj.),fein
,Galljen ,Gaule,Gaul,Gallien
den,gang ,"l'aller, la marche; allée, couloir","(act of) going, running (also fig.); gangway","Gang, Korridor"
,gape ,"béer, être béant",to gape,"klaffen, weit offen stehen"
den,garant'ie,garantie,guarantee,Garantie
den,gard ,cour,"yard, courtyard",Hof
den,garden ,jardin,garden,Garten
dat,garn,fil de fibre,yarn,Garn
den,garnis'on,garnison,garrison,Garnison
den,gäst ,hôte,guest,Gast
den,gave ,don,gift,Gabe
den,gavel ,fourchette,fork (eating utensil),Gabel (Essbesteck)
